candidate,x,y,distance_unknown_m,initial_error,second_error,received,posterior_outer_radius_m,move_measure_s,universally_safe_certificate
naive_perpendicular_500,0.0,500.0,1000.0,0.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,0.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,0.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,0.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,0.0,1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,1.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,1.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,1.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,1.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1000.0,1.0,1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,-1.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,-1.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,-1.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,-1.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,-1.0,1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,0.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,0.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,0.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,0.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,0.0,1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,1.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,1.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,1.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,1.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1250.0,1.0,1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1500.0,-1.0,-1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1500.0,-1.0,-0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1500.0,-1.0,0.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1500.0,-1.0,0.5,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1500.0,-1.0,1.0,False,750.2331037494384,105.0,False
naive_perpendicular_500,0.0,500.0,1500.0,0.0,-1.0,False,750.2331037494384,105.0,False
